Txhash,                        BlockTimeUnix,                        BlockTime,                        Fee(SOL),                        TokenAccount,                        ChangeType,                        ChangeAmount,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenDecimals,                        TokenMultiplier
3Cm6cygN7ZTquYsxF8B7kx9FSzvrdKnRoWPafddb6Dp4qod4J8nTJjxgci2CwiXXpWhbJDYVRBpJjcviU9dgigtm,1783021201,2026-07-02T19:40:01,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,985768900000000,985491220000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
3atq5tRfg1wT7v86gcAt4RtqCzQmvrghYARqyZYZ5mBMtihvuUeWhUihZsW56qqyocd8G3YwpZ5up5B3A8WeJTgk,1783021193,2026-07-02T19:39:53,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,986046580000000,985768900000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
4GbL3ZR3tfuc4PXQeXDNDHwcZ9sve4FYESuDVLeSdXNSPNkVcKhji6r1CmQEfZRMwciLZu8bwiW2yvAK6HWwSgWF,1783021191,2026-07-02T19:39:51,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,986324260000000,986046580000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
9aKNk8CfqwN94NBD1nmMM1WHzTiTndasoqEirW1U7Ggu3DFBGf3qQkyFgcD6TBvNSQpG1qD8gVWd1GutwNcW8UN,1783021187,2026-07-02T19:39:47,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,986601940000000,986324260000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
E6JTM7Qhk3d6ZWsX4sbNndBry6xzvNsNadCwG3oG8BoyUsnArH6FQULWcAF6Pbbxn3fawPhcwvtzBVXFLUrEJgM,1783021183,2026-07-02T19:39:43,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,986879620000000,986601940000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
4D9BaCDNMLGJEL3k2XC8sgJgtk6DXVqrWyF9sR1K8Nry2shZsANd4YTkj28F5s6FFpQBe9qt2868z6EMXtubDZFT,1783021180,2026-07-02T19:39:40,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,987157300000000,986879620000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
5SPqQKuGf5WVDWCLkRFjhVJmzyyvnJLntSpLB28RCGB3dNjgr1q2Z5D8dCtVSDkwuXJ6g8gBPA4zHrVJAd6oym3b,1783021177,2026-07-02T19:39:37,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,987434980000000,987157300000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
7LqxWnYdvBsV6B9UK5BBpKwsZkqvE1grH3GuxVMDWNQ87anNJ3Wx2W6EbnVhS3RY4CmTPNyyLgu1yv7RS6unfTa,1783021176,2026-07-02T19:39:36,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,208260000000,987643240000000,987434980000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
5LJvoWNDLoVUbgYdRGKqx5528EmKC9ydrmeQCDFmstdeznAAJy115A3PqGrzN9kpodcXyVdB1ntTRh3PCvX44ty7,1783021158,2026-07-02T19:39:18,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,987920920000000,987643240000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
4VDiKWDvdCtB1weFudKH2gDwFbfHVmtzd1uEwhhpyiUoCPxJWYi286DyxLiMBYv37EWcxm7cnydGUNSFqCQHky2P,1783021156,2026-07-02T19:39:16,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,988198600000000,987920920000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
3vvoZj65Q97GsicfDiVCWMKP2iUXbrXb7AQbwvg5T3FSCzUnkbvLHnZNNWcu6rHvnBybtkUmBd86AuGLiuYooeXN,1783021153,2026-07-02T19:39:13,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,988476280000000,988198600000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
